评论内容,购买商品,星级
￼非常的好喝，我觉得葡萄芋圆冻冻喝起来最棒了，就是夏天非常适合。￼烧仙草的话很适合冬天就比较喜欢甜的人喝。超级喜欢，￼而且店里面的小哥哥小姐姐都非常的热情服务很好。￼￼啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,葡萄芋圆冻冻1杯,40
超级好看！,葡萄芋圆冻冻1杯,50
很好好好好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,葡萄芋圆冻冻1杯,50
此次用餐总体来说不错，觉得比较认可的地方有：环境、性价比、团购接待、服务。,书亦烧仙草（大杯）+葡萄芋圆冻冻1份,40
料半杯很不错美团下单有优惠「#套餐：书亦烧仙草（大杯）」「#套餐：书亦烧仙草（大杯）」「#套餐：书亦烧仙草（大杯）」「#套餐：书亦烧仙草（大杯）」「#套餐：书亦烧仙草（大杯）」「#套餐：书亦烧仙草（大杯）」「#套餐：书亦烧仙草（大杯）」「#套餐：书亦烧仙草（大杯）」「#套餐：书亦烧仙草（大杯）」「#套餐：书亦烧仙草（大杯）」「#套餐：书亦烧仙草（大杯）」「#套餐：书亦烧仙草（大杯）」「#套餐：书亦烧仙草（大杯）」「#套餐：书亦烧仙草（大杯）」「#套餐：书亦烧仙草（大杯）」「#套餐：书亦烧仙草（大杯）」「#套餐：书亦烧仙草（大杯）」「#套餐：书亦烧仙草（大杯）」,【小春哥同款】书亦烧仙草(大杯)1杯,50
还是合肥的小吃好吃，奶茶好喝。,【小春哥同款】书亦烧仙草(大杯)1杯,50
每次去都要吃的，棒棒的，喜欢,【新品】黄金芝士蛋糕厚乳1杯,50
加的啵啵，别家店都加的很多，这家加一点点，喝了7，8口只吃到1个啵啵，珍珠奶茶的珍珠好多粘在一块，吸都吸不上来，体验极差,,20
书亦烧仙草很好喝，我和我室友经常点他们家的奶茶，配送也很快，店员和外卖小哥服务态度都很好，加的料也是足足的，包装也很好，总之就是很满意很满意很满意很满意很满意很满意很满意很满意很满意很满意很满意很满意的啦,【小春哥同款】书亦烧仙草(大杯)1杯,50
店员服务态度不咋地，特别是那个个子高高的女的，一副无所谓的态度，明明我的早就做好了，也不喊，我就站在她跟前，我还以为我的没做好呢，等了好一会，,【小春哥同款】书亦烧仙草(大杯)1杯,30
奶味浓郁，份量很足，下次还会光顾,【湖南】黄金珍珠奶茶+芋圆+椰果1份,50
位置好找，份量很足，下次还会光顾,【小春哥同款】书亦烧仙草(大杯)1杯,50
很好喝，最爱草莓啵啵酸奶，热天每次去必买,葡萄酸奶冰1杯,50
感觉还是经典的烧仙草好喝，不过我可以尝试一下这个。ing阿姨的时候我的时候我就喜欢这个可以吗可以聊聊人生第一次听说我不知道你怎么可以这么辛苦啊你在哪个1246482歇歇吧我的感受吗还是的啊，吧嗯，你就得走的时候可以去找你啊，你在干嘛呢美女吧饿的时候可以到我们阿姨了吧？，下边是我自己做的冰粉哈哈,【湖南】黄金珍珠奶茶+芋圆+椰果1份,50
确实半杯都是料，味道很好，服务很好,葡萄芋圆冻冻1杯,50
真的超级好喝，发现的新品，非常不错，很喜欢,葡萄芋圆冻冻1杯,50
位置好找，就在美食广场西南角，确实半杯都是料，团购又便宜，很划算,【会员专享】书亦烧仙草(中杯)1杯,50
嗯，还可以吧…………烧仙草奶茶,【新品】黄金芝士厚乳烧仙草（大杯）1份,30
还可以，味道挺赞的，买了很多次，要不是怕胖估计天天都想吃,【小春哥同款】书亦烧仙草(大杯)1杯,50
每次路过都会来一杯，料很足，我和妈妈都很喜欢,【小春哥同款】书亦烧仙草(大杯)1杯,40
没有封好，洒了一点，拿出来的时候，杯子上漏的粘到手上很粘手，而且店员给我奶茶时也没有把洒出来的擦干净，也碰到了手上，很黏手，没有封好，洒了一点，拿出来的时候，杯子上漏的粘到手上很粘手，而且店员给我奶茶时也没有把洒出来的擦干净，也碰到了手上，很黏手，,【湖南】黄金珍珠奶茶+芋圆+椰果1份,10
无意中的一次路过大学城，买了书亦烧仙草，环境还不错，但是找了会，原谅我是个路痴，工作日确定，人不是很多，但是外卖单子好多，等了挺长时间，点的招牌和黑糖，料都很足，吃的很过瘾，茶味不是很浓，有机会还会回购的。,【湖南】书亦烧仙草（大杯)+黑糖小芋圆奶茶1份,30
很好，满满一大杯，配料很丰富！,书亦烧仙草（大杯）+葡萄芋圆冻冻1份,50
很喜欢书亦的经典款烧仙草，料多巨实惠。而且价格也很合适，相比喜茶什么的简直性价比之王好吗！！我一般都会买大杯的，因为中杯不够喝哈哈哈哈～～美团上买券其实大杯的价钱也不贵了。之前美团上的积分没有兑换要求，喝一杯也就不到五块钱，但是最近开始不行了，害。,【小春哥同款】书亦烧仙草(大杯)1杯,50
「#套餐：【湖南】黄金珍珠奶茶+芋圆+椰果」,【湖南】黄金珍珠奶茶+芋圆+椰果1份,50
「#套餐：芋泥全家福」还可以，就是芋泥不算多,【新品】黄金芝士蛋糕厚乳1杯,50
买给孩子喝的，说了要温热，结果是冰凉的，问了店员怎么是凉的，店员说水是温的，里面东西是凉的，加在一起就是凉的，只能这样，我也是醉了，知道果粒那些是凉的，就不知道水放热点吗？感情我说的要温热就只是说的你家水？大冬天的让孩子喝凉的，那个女店员态度也是极其的差！,【小春哥同款】书亦烧仙草(大杯)1杯,10
挺好的，性价比超高，给同事买的，都说挺好的，比较满意。,【湖南】芋泥全家福+焦糖珍珠奶茶1份,50
还是会买书亦烧仙草，大杯的！新品也尝试了很多，但还是觉得经典的最好喝。而且节日活动大多数都是新品会有一些些折扣，烧仙草的价格浮动一直不大，也算是稳定的商品了。老顾客了，还是最喜欢经典味道的，料多也实惠，适合学生党嘻嘻～,【小春哥同款】书亦烧仙草(大杯)1杯,50
真的好喝，嘿嘿嘿，推荐大家喝！！！,【惠】椰椰烧仙草（大杯）1杯,40
此次用餐总体来说不错，觉得比较认可的地方有：口味、团购接待、环境、性价比、服务。,【小春哥同款】书亦烧仙草(大杯)1杯,50
"葡萄芋圆冻冻，真的是夏日里的最爱了，不过最近入冬了，依旧很想喝，就是这个雨天实在是太冷了！！
之前夏天的时候葡萄芋圆冻冻一直是在美团上面有优惠券的，最近可能是冬天点的人少了，活动就没有了。有活动的时候点，十块钱一杯还是蛮心动的。",【惠】椰椰烧仙草（大杯）1杯,50
"此次用餐总体来说不错，觉得比较认可的地方有：服务、团购接待、环境。
我觉得书亦算是比较平价大碗的宝藏奶茶了，便宜，而且味道也好，超级能满足我喜欢嚼糯糯Q弹的小圆子的感觉，料是真多啊！
以前在家的时候我以为沪上阿姨便宜又多，但是大学城门口的沪上阿姨真的不算便宜，而且不知道是不是南北方的差距😅学校门口的料给的也不多。开在旁边的书亦，真的是我心头爱了",【小春哥同款】书亦烧仙草(大杯)1杯,50
「#套餐：书亦烧仙草（大杯）」很好喝呢，价格也不贵,【小春哥同款】书亦烧仙草(大杯)1杯,40
还是一如既往的好，值得推荐，大赞👍,【小春哥同款】书亦烧仙草(大杯)1杯,50
此次用餐总体来说不错，觉得比较认可的地方有：性价比。,【小春哥同款】书亦烧仙草(大杯)1杯,50
料足量大口味不错服务态度很好,【小春哥同款】书亦烧仙草(大杯)1杯,50
这次就餐整体感觉很赞，比较满意的方面有：口味赞。,【湖南】黄金珍珠奶茶+芋圆+椰果1份,40
烧仙草的料也太多了吧，我还是更喜欢喝珍珠奶茶，不多不少刚刚好。不过为了凑积分，我必须要再评论五十个字，这样的话我就可以凑够一百零一积分了。我为什么五星好评呢是因为我花了一分钱买的，那个学生实名认证可以获得一次一分钱的机会。,【小春哥同款】书亦烧仙草(大杯)1杯,50
服务态度特别差，我点单站那里一大会儿店员都不会理你，最可气的是等了好久以为她没做好，结果我去问，第一遍她没回我我以为没做好，过了五分钟我再问，原来早就做好的，放一边不给我。等出去发现我加了啵啵没给我加，我回来找她，她就一个劲的说她加了，然后还打开看结果就是没加，（可打脸）这时候更可气的来了，她给我重新加过密封好又放一边不给我，我等了一会儿，看到放在一边我的奶茶我直接拿走了，。就在出门的时候也有两个女生也跟着出门了，说我们站那都不理我们。我觉得真的好久没见过服务态度这么差的奶茶店了，还是加盟的。。。,,10
我真的太喜欢书亦了！每次都买，评价我都不会写了（捂脸，捂脸，捂脸…）啊啊啊！我真得夸不出来了呜呜～但是书亦真的是平价大碗，我好爱他啊啊啊！呜呜呜呜…说着说着我一会就去再买一杯呜呜呜呜。真的好喝又评价，强烈安利！,【小春哥同款】书亦烧仙草(大杯)1杯,50
这次就餐整体感觉很赞，比较满意的方面有：口味、性价比、环境、团购接待、服务。书亦去年秋天的限定 桂花酸奶芋圆贼好喝！！！可以无糖喝那种 酸酸甜甜 好怀念(哭),【小春哥同款】书亦烧仙草(大杯)1杯,50
非常非常非常好喝，里面的用料也特别特别的丰富，量也很多很多，唯一不太满意的是店里小姐姐的态度有点冷漠，因为前面排了好多人，都没问甜度的。明明要的是热的，拿到手只有一点点热度。不过不影响它的好喝，下次换一家试试。,【小春哥同款】书亦烧仙草(大杯)1杯,50
料多多，很实在，孩子都喝饱了啊不，吃饱了,【小春哥同款】书亦烧仙草(大杯)1杯,50
真不错，料真的很多，碰上活动，很划算，9块大杯,【小春哥同款】书亦烧仙草(大杯)1杯,50
大学城店也不是第一次买了，但这次真的感觉不是很好，我在美团上买了券，然后自己到店拿的饮料，但是中途有个小姐姐因为码出了问题，我就在那等了好久，中途唉难受，幸好饮料OK，什么也不说了，好评是没错的，毕竟饮料没错,【惠】椰椰烧仙草（大杯）1杯,50
此次用餐总体来说不错，觉得比较认可的地方有：口味赞、服务细致、团购接待。,【小春哥同款】书亦烧仙草(大杯)1杯,50
很满意的一次就餐体验，整体评价的话我觉得：口味。,【小春哥同款】书亦烧仙草(大杯)1杯,50
"书亦算是奶茶中的性价比之王了吧🤭人均也就十块钱左右。最贵也就15了，而且料给的是真的足啊。一杯奶茶半杯料，他们家真的是实物与宣传差不了太多。不会失望就对了！！
反正自打书亦开在校门口，我就真的几乎没再喝过校门口其他的什么奶茶了。真的超级爱了！",小料6选1,50
刚开始很不满意 备注要热得 给我送来冷的 最后联系商家给我退了 所以给五星挺满意🉐️,【小春哥同款】书亦烧仙草(大杯)1杯,50
第一次喝他们家的葡萄益菌多，感觉还好，但是觉得葡萄芋圆冻冻更好喝～可能我更喜欢有嚼劲的哈哈哈哈。不过书亦的价格还是很美好的！！总之还是很喜欢他们家～～料多！嘻嘻～料实材真，店员服务也很好。每次都很满意啦～～,10元代金券1张，可叠加2张,50
有丢丢的齁...,小芋圆烧仙草1杯,40
还不错 味道挺好，分量也很足,【小春哥同款】书亦烧仙草(大杯)1杯,50
点餐小姐姐很好看，人甜奶茶更甜，料很足，很赞👍,椰椰烧仙草（大杯）1杯,50
不错 第一次喝这家的烧仙草，味道很好,【小春哥同款】书亦烧仙草(大杯)1杯,50
环境不错，适合朋友闲聊，也舒服。,【湖南】书亦烧仙草（大杯)+黑糖小芋圆奶茶1份,50
赞,【小春哥同款】书亦烧仙草(大杯)1杯,50
「#套餐：焦糖珍珠奶茶」之前都喝的珍珠奶茶 我朋友喜欢喝焦糖珍珠奶茶，所以今天才尝一尝，平时懒得走过去还点外卖最方便，位置就在大学城很好找，十几分钟就到了，奶茶店环境也特别好，除了焦糖珍珠奶茶，其他的也很不错。,焦糖珍珠奶茶1杯,50
