评论内容,购买商品,星级
味道不错，是我喜欢的样子，小哥哥态度也非常好，，，,杨枝甘露椰奶1中,50
学校附近开了古茗，用美团点也实惠。杨枝甘露料很足，三分甜刚刚好，超级棒，下次试试多肉葡萄,杨枝甘露椰奶1中,50
超级好喝，果肉也很新鲜，大杯量足😋,超A芝士葡萄1大,50
好喝好喝(✪▽✪)，非常推荐。,杨枝甘露椰奶1中,50
此次用餐总体来说不错，觉得比较认可的地方有：口味、服务、性价比。超级棒,杨枝甘露椰奶1中,50
好喝！老板人很好～特别NICE,超A芝士葡萄1大,50
古茗真的超好喝呀 美团上买券会便宜一点 真好,布蕾脆脆奶芙1中,50
不错,布蕾脆脆奶芙1中,50
还行吧哦，份量也是可以的哦味道不错,杨枝甘露椰奶1中,50
挺好喝的喜欢里面的爆爆珠哈哈哈哈哈,杨枝甘露椰奶1中,50
店员很热情，芝士多肉葡也好好喝,芝士多肉葡萄1大,50
非常好喝，服务也很好,杨枝甘露椰奶1中,50
好喝好喝(✪▽✪)，真的很好喝，推荐购买。,布蕾脆脆奶芙1中,50
好吃😋,布蕾脆脆奶芙1中,50
大大滴好，老板人很负责很耐心。杨枝甘露yyds,杨枝甘露椰奶1中,50
好喝,杨枝甘露椰奶1中,50
好喝,芝士多肉葡萄1大,50
杨枝甘露绝绝子,杨枝甘露椰奶1中,50
"杨枝甘露永远的神
小哥哥人也非常好",杨枝甘露椰奶1中,50
布蕾脆脆奶芙yyds！,杨枝甘露椰奶1中,50
,芋泥青稞牛奶1中,50
,超A芝士葡萄1大,50
,杨枝甘露椰奶1中,45
,超A芝士葡萄1大,45
,杨枝甘露椰奶1中,45
,布蕾脆脆奶芙1中,50
,超A芝士葡萄1大,40
,超A芝士葡萄1大,50
,超A芝士葡萄1大,50
,超A芝士葡萄1大,45
,桂花乌龙奶芙1中,50
,超A芝士葡萄1大,50
,芝士多肉桃桃1大,50
,超A芝士葡萄1大,50
,杨枝甘露椰奶1中,50
,布蕾脆脆奶芙1中,50
,布蕾脆脆奶芙1中,50
,布蕾脆脆奶芙1中,50
,杨枝甘露椰奶1中,50
,杨枝甘露椰奶1中,50
,芝士多肉桃桃1大,50
,杨枝甘露轻盈版1大,50
,杨枝甘露椰奶1中,50
,布蕾脆脆奶芙1中,50
,超A芝士葡萄1大,50
,超A芝士葡萄1大,50
,超A芝士葡萄1大,50
,布蕾脆脆奶芙1中,50
,杨枝甘露椰奶1中,50
,芝士多肉桃桃1大,40
,超A芝士葡萄1大,50
,杨枝甘露椰奶1中,50
,超A芝士葡萄1大,50
,杨枝甘露椰奶1中,50
,超A芝士葡萄1大,50
,超A芝士葡萄1大,50
,杨枝甘露椰奶1中,50
,杨枝甘露椰奶1中,50
,布蕾脆脆奶芙1中,50
,杨枝甘露椰奶1中,50
,杨枝甘露椰奶1中,50
,布蕾脆脆奶芙1中,50
,布蕾脆脆奶芙1中,50
,杨枝甘露椰奶1中,50
,杨枝甘露椰奶1中,50
,布蕾脆脆奶芙1中,50
,布蕾脆脆奶芙1中,50
,杨枝甘露椰奶1中,50
,杨枝甘露椰奶1中,50
