店铺名,店铺所在位置,人均消费,评分,美食名称,店铺图片链接,纬度,经度,最低价格,店铺ID,店铺详情页
奶茶先生（圣地雅阁店）,龙岗路,0.0,3.8,奶茶/果汁,http://p1.meituan.net/w.h/wmproduct/21ebcea03cbec79541f76085c50b3d30950017.png,31.8747,117.3901,0.0,1036574867,https://www.meituan.com/meishi/1036574867/
奶茶先生（金鸣街店）,水晶城,9.0,3.7,奶茶/果汁,http://p0.meituan.net/w.h/merchant/bd06a41562f1e0c7befa48ea0577d1b9105589.jpg,31.7201,117.1652,6.9,169490058,https://www.meituan.com/meishi/169490058/
暖吾里·老挝冰咖啡·泰式奶茶（合工大店）,宣城路,12.0,4.8,奶茶/果汁,http://p0.meituan.net/w.h/merchant/2e5e84076b1d93d619b0b4ed95cceebe10182784.png,31.8484,117.2952,6.0,789338821,https://www.meituan.com/meishi/789338821/
天然呆（弘阳广场店）,松芝万象城,14.0,4.2,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1878994829_1636337532141.jpeg,31.8521,117.2374,9.9,1402993358,https://www.meituan.com/meishi/1402993358/
奶茶先生（枞阳路店）,瑶海区,0.0,4.1,奶茶/果汁,http://p1.meituan.net/w.h/wmproduct/21ebcea03cbec79541f76085c50b3d30950017.png,31.8453,117.3449,0.0,1152378122,https://www.meituan.com/meishi/1152378122/
沪上阿姨鲜果茶（白马店）,火车站/胜利广场,15.0,4.1,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1847347851_1637748790659.jpeg,31.8834,117.314,0.66,1299583081,https://www.meituan.com/meishi/1299583081/
天然呆（步行街店）,淮河路步行街,12.0,4.2,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1878994829_1636337532141.jpeg,31.864,117.2986,5.9,1907050597,https://www.meituan.com/meishi/1907050597/
奶茶先生（黄麓店）,巢湖,0.0,3.9,奶茶/果汁,http://p1.meituan.net/w.h/wmproduct/21ebcea03cbec79541f76085c50b3d30950017.png,31.6223,117.5825,0.0,748202642,https://www.meituan.com/meishi/748202642/
禧鹿YOYO·奶茶烘焙（华府骏苑店）,大唐国际乐购,11.0,4.5,奶茶/果汁,http://p0.meituan.net/w.h/merchant/b01cded8359bdcc3304ed5dc290102f852456.jpg,31.8305,117.2348,4.9,1298914759,https://www.meituan.com/meishi/1298914759/
蜜雪冰城（官亭路店）,之心城,7.0,4.7,奶茶/果汁,http://p1.meituan.net/w.h/biztone/2e5610e337d0a30c2ecf9cf00aa0f266162461.jpg,31.8553,117.2564,0.1,4032340,https://www.meituan.com/meishi/4032340/
檬小奇奶茶（校园店）,经开区,8.0,4.6,奶茶/果汁,http://p1.meituan.net/w.h/xianfu/5b68e5417c6b1e61e5f8acab1e78748d374290.jpg,31.7692,117.1795,0.0,6716064,https://www.meituan.com/meishi/6716064/
琉璃鲸奶茶,北城世纪城,6.0,3.9,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/feecc5756ce62ef1e1c4db6b0b7670b5260795.jpg,32.0045,117.2454,3.9,194786665,https://www.meituan.com/meishi/194786665/
CoCo都可（武里山天街店）,武里山天街,12.0,4.4,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,31.8988,117.3202,5.0,157750630,https://www.meituan.com/meishi/157750630/
蜜雪冰城（北城万达店）,长丰县,7.0,4.3,奶茶/果汁,http://p1.meituan.net/w.h/biztone/2e5610e337d0a30c2ecf9cf00aa0f266162461.jpg,31.9704,117.263,0.1,1696931833,https://www.meituan.com/meishi/1696931833/
茶百道（女人街店）,三孝口/女人街,15.0,4.2,奶茶/果汁,http://p0.meituan.net/w.h/biztone/b8df853928aacac04c8add55075cb030325791.jpg,31.8593,117.2759,6.66,1584666094,https://www.meituan.com/meishi/1584666094/
甜啦啦（新站广场万街店）,新站区,13.0,4.1,奶茶/果汁,http://p0.meituan.net/w.h/biztone/429d5a765abe8471d369152100f46494140295.jpg,31.9393,117.3289,0.1,837128187,https://www.meituan.com/meishi/837128187/
夏芝雪（紫蓬山文达店）,肥西县,10.0,4.6,奶茶/果汁,http://p0.meituan.net/w.h/biztone/c86a6be052b6c96e38c9f8acb20676bb154698.jpg,31.7423,117.0222,7.9,1058058829,https://www.meituan.com/meishi/1058058829/
沪上阿姨鲜果茶（摩尔广场店）,蜀山区,0.0,4.2,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1847347851_1637748790659.jpeg,31.8454,117.2465,0.66,1574173054,https://www.meituan.com/meishi/1574173054/
古茗（蜀山海恒步行街店）,经开区,15.0,4.9,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/7d336a36b70f959926e14f892ab9bb9421909.png,31.7779,117.2593,13.0,1284363267,https://www.meituan.com/meishi/1284363267/
一只酸奶牛（砂之船店）,高新区,14.0,4.3,奶茶/果汁,http://p0.meituan.net/w.h/biztone/5138c422b33fa9708403c48fd8d74341153146.jpg,31.8373,117.1168,8.8,1665401584,https://www.meituan.com/meishi/1665401584/
卡旺卡（天鹅湖万达店）,天鹅湖万达广场,16.0,4.5,奶茶/果汁,http://p1.meituan.net/w.h/bbia/76b550bd8d6cd0258b70fb5839637ca5144403.jpg,31.8191,117.2216,0.0,50539513,https://www.meituan.com/meishi/50539513/
茶百道（高速时代广场店）,高速滨湖时代广场,15.0,4.3,奶茶/果汁,http://p0.meituan.net/w.h/biztone/b8df853928aacac04c8add55075cb030325791.jpg,31.7223,117.2813,6.66,1914681071,https://www.meituan.com/meishi/1914681071/
书亦烧仙草（中环城店）,中环城,13.0,4.7,奶茶/果汁,http://p0.meituan.net/w.h/biztone/943372670_1637111305943.jpeg,31.7807,117.2083,6.66,1322270997,https://www.meituan.com/meishi/1322270997/
书亦烧仙草 （国购广场店）,国购广场,12.0,4.3,奶茶/果汁,http://p0.meituan.net/w.h/biztone/943372670_1637111305943.jpeg,31.8533,117.2563,6.66,841910115,https://www.meituan.com/meishi/841910115/
CoCo都可（铜陵北路乐购店）,家天下生活广场,13.0,4.5,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,31.8948,117.3261,5.0,89288227,https://www.meituan.com/meishi/89288227/
蜜雪冰城（大铺头店）,高新区,7.0,4.8,奶茶/果汁,http://p1.meituan.net/w.h/biztone/2e5610e337d0a30c2ecf9cf00aa0f266162461.jpg,31.8541,117.1867,0.1,1736447965,https://www.meituan.com/meishi/1736447965/
沪上阿姨鲜果茶（水晶城店）,水晶城,15.0,4.2,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1847347851_1637748790659.jpeg,31.7193,117.1699,0.66,1385474120,https://www.meituan.com/meishi/1385474120/
茶百道（科学大道店）,十里庙,15.0,4.1,奶茶/果汁,http://p0.meituan.net/w.h/biztone/b8df853928aacac04c8add55075cb030325791.jpg,31.8573,117.2074,6.66,1877230824,https://www.meituan.com/meishi/1877230824/
蜜雪冰城（北城店）,世纪金源,6.0,3.7,奶茶/果汁,http://p1.meituan.net/w.h/biztone/2e5610e337d0a30c2ecf9cf00aa0f266162461.jpg,32.0042,117.2472,0.1,1047001073,https://www.meituan.com/meishi/1047001073/
